CHRIS/EUREX_F2CR2,"CER Futures MidDec, Continuous Contract #2 (F2CR2)"
CHRIS/EUREX_FEUA1,"EUA Futures, Continuous Contract #1 (FEUA1) (Front Month)"
CHRIS/EUREX_F2CR1,"CER Futures MidDec, Continuous Contract #1 (F2CR1) (Front Month)"
CHRIS/EUREX_FERU2,"ERU Futures, Continuous Contract #2 (FERU2)"
CHRIS/SHFE_FU1,"Shanghai Fuel Oil Futures, Continuous Contract #1 (FU1) (Front Month)"
CHRIS/SHFE_FU2,"Shanghai Fuel Oil Futures, Continuous Contract #2 (FU2)"
CHRIS/EUREX_FEUA2,"EUA Futures, Continuous Contract #2 (FEUA2)"
CHRIS/SGX_FB1,"SGX Fuel Oil 380cst Futures, Continuous Contract #1 (FB1) (Front Month)"
CHRIS/SGX_CFF1,"Thermal Coal Futures, Continuous Contract #1 (CFF1) (Front Month)"
CHRIS/SGX_CFF2,"Thermal Coal Futures, Continuous Contract #2 (CFF2)"
CHRIS/EUREX_FEAA1,"EUAA Futures, Continuous Contract #1 (FEAA1) (Front Month)"
CHRIS/EUREX_FEAA2,"EUAA Futures, Continuous Contract #2 (FEAA2)"
CHRIS/EUREX_FERU1,"ERU Futures, Continuous Contract #1 (FERU1) (Front Month)"
CHRIS/SGX_CIF1,"SGX Sub-Bit Coal FOB Indonesia Futures, Continuous Contract #1 (CIF1) (Front Month)"
CHRIS/SGX_CIF2,"SGX Sub-Bit Coal FOB Indonesia Futures, Continuous Contract #2 (CIF2)"
CHRIS/SGX_FB2,"SGX Fuel Oil 380cst Futures, Continuous Contract #2 (FB2)"
CHRIS/SGX_3MF1,"SGX Platts Singapore Fuel Oil 380cst Index Futures, Continuous Contract #1 (3MF1) (Front Month)"
CHRIS/SGX_CFF3,"Thermal Coal Futures, Continuous Contract #3 (CFF3)"
CHRIS/SGX_3MF2,"SGX Platts Singapore Fuel Oil 380cst Index Futures, Continuous Contract #2 (3MF2)"
CHRIS/SGX_CFF4,"Thermal Coal Futures, Continuous Contract #4 (CFF4)"
CHRIS/SGX_CFF5,"Thermal Coal Futures, Continuous Contract #5 (CFF5)"
CHRIS/SGX_KRF2,"SGX Platts Kerosene FOB Singapore Index Futures, Continuous Contract #2 (KRF2)"
CHRIS/SGX_1MF1,"SGX Platts Singapore Fuel Oil 180cst Index Futures, Continuous Contract #1 (1MF1) (Front Month)"
CHRIS/SGX_1MF2,"SGX Platts Singapore Fuel Oil 180cst Index Futures, Continuous Contract #2 (1MF2)"
CHRIS/SGX_1MF3,"SGX Platts Singapore Fuel Oil 180cst Index Futures, Continuous Contract #3 (1MF3)"
CHRIS/SGX_GOF1,"SGX Platts Gasoil FOB Singapore Index Futures, Continuous Contract #1 (GOF1) (Front Month)"
CHRIS/SGX_GOF2,"SGX Platts Gasoil FOB Singapore Index Futures, Continuous Contract #2 (GOF2)"
